product_name_c_1,product_name_c_2,name_similarity,seller_website_c_1,seller_website_c_2,url_similarity,description_c_1,description_c_2,description_similarity,product_category_c_1,product_category_c_2,category_similarity
agilepoint,agilepoint nx,86.95652173913044,,agilepoint.com,,,"agilepoint nx is a leading enterprise class low-to-no-code development platform for digital process automation. empowering both business and technical users to build, deploy and govern any kind of app, from simple to complex, without writing code.",,workflow automation,application development software,39.21568627450981
agitar,agitator,85.71428571428572,,agitar.com,,,agitator is a quality management software that helps software development teams implement developer testing.,,test automation,software testing tools,43.24324324324324
akamai cdn,akamai dns,90.0,,,,,,,content delivery network (cdn),domain name services,36.0
alcatel-lucent omniaccess,alcatel-lucent omnipcx,85.1063829787234,,,,,,,networking hardware,unified communications,19.512195121951216
alcatel-lucent omnipcx,alcatel-lucent omniswitch,85.1063829787234,,conversation.alcatel-lucent.com,,,"switches keep the office, campus & data center networks connected with high-performance ethernet switch that delivers uninterrupted network.",,unified communications,lan switches,29.411764705882348
alcatel-lucent omnipcx,alcatel-lucent omnitouch,86.95652173913044,,,,,,,unified communications,cloud contact center software,35.29411764705882
alcatel-lucent omniswitch,alcatel-lucent omnitouch,89.79591836734694,conversation.alcatel-lucent.com,,,"switches keep the office, campus & data center networks connected with high-performance ethernet switch that delivers uninterrupted network.",,,lan switches,cloud contact center software,29.268292682926834
alertbot,alertbox,87.5,alertbot.com,,,alertbot's website monitoring provides businesses with around the clock testing of their website pages. this monitoring includes the testing of all possible webpage failure points as well as the verification of key performance metrics. this data gives businesses the information they need to ensure their websites are always running error-free and providing a quality user experience.,,,network monitoring,sms marketing,38.70967741935484
alertbox,alertfox,87.5,,,,,,,sms marketing,system administration,47.05882352941176
alertify js,alertifyjs,95.23809523809523,alertifyjs.com,,,alertifyjs is a javascript framework for developing browser dialogs and notifications.,,,web frameworks,libraries and widgets,40.0
algorithmia,algorithmics,86.95652173913044,,,,,,,data science and machine learning,financial risk management,37.93103448275862
alienvault ossim,alienvault® ossim™,94.11764705882352,,alienvault.com/products/ossim,,,"alienvault® ossim™ is a feature-rich, open-source security information and event management (siem) that includes event collection, normalization, and correlation. alienvault ossim was launched by engineers because of a lack of available open-source products and to address the reality many security professionals face, which is that a siem, whether it is open source or commercial, is no good if it does not provide security visibility.",,security information and event management (siem),system security software,30.555555555555557
alinea,alinean,92.3076923076923,alinea-invest.com,,,,,,accounting,lead scoring,54.54545454545454
alipay,alipayhk,85.71428571428572,,alipayhk.com,,,the hong kong dollar service provided by alipayhk brings you a new mobile payment experience. you can easily make payments at the outlets of major cooperative merchants or online shopping with a single tap of your mobile phone. it is simple and safe.,,pos systems,e-commerce software,33.333333333333336
allcloud,allcloudip,88.88888888888889,,allcloudip.com,,,"allcloud ip offers businesses a full suite of enterprise voice and data applications without the enterprise cost. with over 12 years of voice and data cloud experience and a hands-on approach allcloud ip customers can rest assured the vital components of their business will continue to run no matter what the world throws at them. with the world of technology ever changing allcloud ip understands that there is no one size fits all, with that allcloud ip prides itself with having access to a long list of carriers and partners to ensure the end user is getting the best possible service at the best possible price as well as having one point of contact to bring it all together. with our approach customers can take full advantage of their private cloud to bring out the best of their products and people weather its business continuity for uptime or unified communications such as voip or messaging to bring everyone together and everything in between to collaborate. allcloud ip stands above the rest with ability to remain fluid in a moving world.",,cloud operations management,voip providers,29.268292682926834
allwork,allworx,85.71428571428572,allworknow.com,,,"allwork's mission is to help companies transform their hourly workforces into a more efficient and flexible on-demand labor model and provide workers with the ability to take control of their schedules, access new opportunities and maximize their income potential.",,,freelancer management systems,business phone systems,50.98039215686274
altair hypercrash,altair hypergraph,88.23529411764706,,,,,,,simulation modeling,data analysis,31.25
altair motionsolve,altair motionview,85.71428571428572,,,,,,,simulation modeling,simulation modeling,100.0
alteia,alterian,85.71428571428572,alteia.com,,,"alteia enables visual intelligence solutions for real-time business decisions. it is a comprehensive software platform for rapidly developing, deploying, and operating ai applications with visual data. it combines internal and external data onto a single and unified database to build, navigate, and visualize a contextualized data image, develop and deploy ai applications on top of it to solve high-value use cases.",,,deep learning software,campaign management,34.14634146341463
amacs,amacus,90.9090909090909,bigdutchman.com,,,"helps to produce high-protein food commercially - because we want you to be successful. if you are to work economically, automation and cost-conscious management are essential prerequisites.",,,agriculture software,sales productivity,36.8421052631579
amazon ebs,amazon ecs,90.0,aws.amazon.com/ebs,,,"amazon ebs volumes are network-attached, and persist independently from the life of an instance. amazon ebs provides highly available, highly reliable, predictable storage volumes that can be attached to a running amazon ec2 instance and exposed as a device within the instance. amazon ebs is particularly suited for applications that require a database, file system, or access to raw block level storage.",,,storage infrastructure,containers and microservices,36.0
amazon ecr,amazon ecs,90.0,aws.amazon.com/ecr,,,"it is a fully managed container registry that makes it easy to store, manage, share, and deploy your container images and artifacts anywhere. it eliminates the need to operate your own container repositories or worry about scaling the underlying infrastructure.",,,containers and microservices,containers and microservices,100.0
amazon linux,amazon linux ami,85.71428571428572,aws.amazon.com/amazon-linux-ami,,,the amazon linux ami is a supported and maintained linux image provided by amazon web services for use on amazon elastic compute cloud (amazon ec2).,,,server and desktop os,web and application servers,54.16666666666667
amazowl,amazvol,85.71428571428572,,amazvol.com,,,it is a database of keywords that buyers use on amazon to search for this or that product. the leader of the industry amazvol is a unique platform for keyword search and market research. a group of professionals managed to work together and create a fully functioning platform. the role of amazvol is to take you to the top. it is a real time amazon search volume tool that analyzes and tracks thousands of keywords and brings out the results. at the same time market research feature allows analyzing amazon searches and spots trends.,,ecommerce platform,other marketing software,33.333333333333336
apache spark,apache spark sql,85.71428571428572,spark.apache.org,,,"spark is a fast and general processing engine compatible with hadoop data. it can run in hadoop clusters through yarn or spark's standalone mode, and it can process data in hdfs, hbase, cassandra, hive, and any hadoop inputformat. it is designed to perform both batch processing (similar to mapreduce) and new workloads like streaming, interactive queries, and machine learning.",,,stream processing,big data analytics,40.0
apexcharts,apexchat,88.88888888888889,apexcharts.com,,,an open-source modern charting library built for the developers to create interactive visualizations on the web.,,,data visualization libraries software,live chat,26.086956521739136
apostek,apostle,85.71428571428572,,apostlesocial.com,,,"edit, send and track app-generated transactional emails.",,software development services,demand generation software,61.81818181818181
appdynamics end user monitoring,appdynamics real user monitoring,85.71428571428572,,,,,,,cloud operations management,cloud operations management,100.0
applearn,appler,85.71428571428572,,lms.ziksa.co,,,ziksa’s advanced learning management system. upgrade your skills & climb the corporate ladder.,,user onboarding and engagement,talent management software,53.57142857142857
applicantpool,applicantpro,88.0,,,,,,,recruitment,recruitment,100.0
applicantz,applicat,88.88888888888889,applicantz.com,,,"given the job description and hiring preferences, applicantz’s ai reaches the entire candidate universe by searching through all major job boards and presents only the finest, interview-ready, and hirable candidates. with applicantz, you do not have to subscribe to any job board, read hundreds of resumes, or follow up with thousands of candidates. applicantz’s unique ai and unparalleled reach of candidates outperform all conventional and ai-based recruitment!",,,recruiting software,field service management,32.55813953488372
applicat,applicata,94.11764705882352,,applicata.de,,,applicata is a software-as-a-service that empowers marketers to manage online marketing campaigns focusing on maximizing profitability.,,field service management,customer data platforms (cdp),26.415094339622648
apploi,applovin,85.71428571428572,apploi.com,,,mobile-first job search platform.,,,recruiting software,mobile ad network,27.77777777777778
appmaster,appmaster.io,85.71428571428572,,appmaster.io,,,"appmaster is a new generation no-code platform designed to help users create sophisticated backend, web, and mobile applications without a single line of code. one of the primary distinctions from other platforms is that appmaster creates software the same way as developers do: under the hood, the platform generates exportable source code (yeah!) for every application, builds binaries, and manages the deployment. appmaster has several fundamental components to build the ultimate application: - create your data models with a visual designer - enable modules for the most common business cases (authorization, email, sms, stripe, telegram, aws, zoom, and dozens of others) - transform your business processes to analyze and edit your data using function blocks and a drag & drop interface - build web applications in minutes with prebuilt components (tables, forms, tabs, buttons, and more) - design mobile applications for ios & android, and publish them to the store - deploy your application on the appmaster cloud, amazon web sevices, microsoft azure, goole cloud, or export the binaries & source code at any moment appmaster isn't just a prototyping platform though, with us you can build production-ready high-performance applications and deploy them on multiple clouds. appmaster allows you to develop numerous complex features that modern applications tend to require, like custom business logic, endpoint configuration with middleware, working with data models, and much more.",,application development,application development software,83.63636363636364
appointo,appointy,87.5,sidepanda.com,,,build and launch online booking system for your business/e-commerce store. no coding required.,,,online appointment scheduling software,employee scheduling,52.63157894736843
appsmoka,appsmonk,87.5,appsmoka.com,,,"small and medium sized repair shops and general contractors . job costing, estimating and invoicing application for repair shops with better work flow and time management tools. includes integration with accounting packages and email. includes part lists, dynamic invoicing, convert your estimate into a paint invoice, body shop invoice, mechanical invoice and more. personalize your estimates and invoices with company logos and other details. unlimited users.",,,automotive software,in-app user feedback,25.64102564102564
apptega,apptegy,85.71428571428572,apptega.com,,,"manage your cybersecurity compliance frameworks and initiatives within apptega’s intuitive, cloud-based platform. streamline your approach with automated framework crosswalk capabilities, policy and plan templates, and 24/7 access to consultants.",,,security compliance software,other education tech,37.5
appward,appwarp,85.71428571428572,appward.com,,,"software companies don’t understand your business. from one group you get a rigid solution that requires expensive and time-consuming implementation. from the other you get a hodgepodge of disconnected applications. we feel your pain. appward delivers a smart set of over 80 apps in a blazing-fast private workspace that helps you manage and improve every function in your organization, including project management, crm, employee management, operations, quality, manufacturing and supply chain.",,,application development software,game development,58.33333333333333
archive.one,archiveone,95.23809523809523,novaline.de,,,"archiv.one - dms for sap business one: document and email archiving automatically archive all your documents, emails and files generated in sap business one® (offers, invoices, etc.). our solution saves them unchangeable, audit-compliant and links them with all relevant data directly from sap business one®.",,,sap store software,archiving,14.814814814814813
arcon privileged access management (enterprise),arcon | privileged access management (pam),85.39325842696628,,arconnet.com,,,"arcon's privileged access management / privileged identity management solution is a unique risk-control software, appliance (physical or virtual), and service provider in private cloud which helps safeguarding privileged identities by monitoring and securing database assets from malefactors. it is delivered as a set of different modules that are licensed separately.",,identity and access management,identity management software,65.51724137931035
arcserve backup,arcserve tape backup,85.71428571428572,,arcserve.com,,,protect your high capacity storage with the world’s most powerful tape backup software.,,backup and recovery,data recovery software,53.65853658536586
arlo training & event software,arlo training management software,85.71428571428572,,,,,"arlo is training management software for training providers who want to save time and crush sales targets. it is a complete training management solution to promote, sell and deliver instructor-led, online and blended learning.",,training and assessment,learning management systems,43.99999999999999
arya,aryaz,88.88888888888889,,aryaz.io,,,"aryaz is the care and support services management platform that helps you to stay focused on projects, tasks, and what really matters to your business: your clients.",,data driven recruiting,nonprofit software,25.0
arya,aryza,88.88888888888889,,aryza.com,,,"aryza ltd. is a company that specializes in providing software solutions for various financial services. they offer a range of products and services that automate and streamline processes in areas such as recovery and collections, debt management, insolvency, and creditor services",,data driven recruiting,financial services software,36.73469387755102
ascend,ascender,85.71428571428572,ascend4.org,,,ascend is an open-source equation-based modelling environment.,,,simulation & cae software,payroll and benefits,31.11111111111111
ascender,ascenderai,88.88888888888889,,ascender.ai,,,"ascender ai llc was founded in 2019 by a visionary research scientist and two well established ai entrepreneurs. braddock gaskill, the ceo, has over 25 years of experience in ai and machine learning. co-founders mudar yaghi and mohammad shihadah have spent the past 30 years bringing a family of pioneering ai-driven companies to life.",,payroll and benefits,deep learning software,38.095238095238095
ascender,ascendr,93.33333333333333,,ascendr.co.uk,,,"ascendr is an online customer onboarding tool designed to help isvs effectively manage and onboard their customers. it's the perfect tool for customer success managers, project managers, implementation consultants, and systems analysts who need a way to break down complex projects into clearly defined deliverables. with ascendr, you'll have access to a beautiful customer portal where you can share information and activity in real time with your customers.",,payroll and benefits,"project, portfolio & program management software",32.35294117647059
ascera,ascertra,85.71428571428572,sp6.io,,,"automate the evidence collection and status reporting needed to attain and continuously monitor cmmc, dfars, and nist-based compliance. ascera’s automated data collection and analysis significantly reduces the need for time-consuming interviews and security data pulls. ascera also reduces the risk of providing unacceptable or incomplete evidence with its built-in guidance and continuous analysis.",,,security compliance software,product information management (pim),34.375
aspire,aspirehr,85.71428571428572,ltisolutions.com,,,aspire is an end-to-end lease and loan management system that flexibly manages the entire lifecycle of lease and loan transactions.,,,asset management software,hrms,13.793103448275868
asterisk,asters,85.71428571428572,,asters.ai,,,"asters is the workspace where social media automation is run at scale, with the help of our artificial intelligence ecosystem.",,business phone systems,social media marketing software,33.9622641509434
at internet analytics suite,at internet web analytics,88.46153846153845,,,,,,,data visualization,mobile analytics,35.29411764705882
at internet analytics suite,at internet's analytics suite,96.42857142857143,,atinternet.com,,,at internet's analytics suite helps companies measure their audience and optimize their digital performance across all channels.,,data visualization,digital analytics software,31.818181818181824
at internet web analytics,at internet's analytics suite,85.18518518518519,,atinternet.com,,,at internet's analytics suite helps companies measure their audience and optimize their digital performance across all channels.,,mobile analytics,digital analytics software,61.904761904761905
atex,atext,88.88888888888889,,trankynam.com,,,atext accelerates your typing by replacing abbreviations with frequently used phrases you define,,web content management,text expanders software,31.11111111111111
athenian,athennian,94.11764705882352,athenian.com,athennian.com,96.0,athenian is a data-enabled engineering platform that helps engineering leaders build a continuous improvement culture by leveraging insights and aligning teams with company goals.,"athennian's corporate governance cloud manages your critical entity data to perfectly automate consents, resolutions, agm docs, reports or certificates with a few clicks.",41.83381088825215,software development analytics tools,entity management software,58.06451612903225
atlassian cloud,atlassian crowd,86.66666666666667,,,,,,,team collaboration,identity and access management,29.166666666666664
attendance calendar,attendance radar,85.71428571428572,,codific.com,,,"attendance radar is a mobile app that offers the easiest, fastest, and most reliable way to track student attendance. you can record the attendance of a whole class, regardless of its size, in a matter of seconds with just two clicks – one click for the trainer to emit a secure bluetooth signal and one click for the student to mark themselves as present. the app’s basic version is free. there is also a premium version with exciting features and a university version that provides additional benefits for your organization.",,absence leave management,education software,28.57142857142857
attensi,attensity,87.5,attensi.com,,,"attensi is a norwegian company specialised in gamified simulation training. attensi has grown to be a global leader in the field, and their solutions combine advanced 3d modelling with deep insight into human behaviour and psychology, training employees in authentic situations that involve human interaction and operation of business critical software and systems. attensi has delivered gamified simulation training in over 150 countries and more than 50 languages. customers include microsoft, equinor, circle k, bosch siemens home appliances, nhs, accenture, wagamama’s, hiscox, scatec solar and many more. attensi is headquartered in oslo, norway, with offices in london, köln, boston and palo alto.",,,talent management software,social customer support,32.6530612244898
atto,attom,88.88888888888889,attotime.com,,,"whether in the office, on the move or at a job site, the atto mobile time clock provides convenience at your fingertips. clock in and out from your mobile device and ensure your work hours are accounted for.",,,time tracking software,property management,29.268292682926834
attrac,attrace,92.3076923076923,appheros.com,,,"attrac is a marketing platform for shopify that helps merchants announce offers, engage customers, and boost sales. merchants around the world use attrac to add high-converting popups, bars, and banners to their stores to promote special deals, announce offers, and grow their email and sms lists. attrac is fully customizable and can be set up in less than 5 minutes. it also seamlessly integrates with popular email marketing apps.",,,pop-up builder software,it service,30.303030303030297
attrace,attrack,85.71428571428572,,umbrellait.com,,,"attrack is a new modular time-tracking app for business owners, managers and freelancers with a user-friendly and simple interface. with attrack you can: track time against the projects, set rates on task and see what are your labour costs, generate invoices for your clients, see your and your employees’ workday on a timeline, get the detailed reports, generate screenshots. attrack integrates or makes it possible to work with many programs and task managers: trello, jira, google docs, etc. with attrack, it is possible, by using various modules, to assemble the time tracker which will suit the needs of your organisation.",,it service,time tracking software,31.25
augur,augure,90.9090909090909,,,,,,,cross-device targeting,influencer marketing,52.38095238095239
augur,augury,90.9090909090909,,augury.com,,,"unlock production capacity, predictability, and sustainability all while transforming how manufacturing teams work with augury’s purpose-built ai solutions. with augury's production health, machine health, and process health solutions, you can: ➡️ reduce maintenance costs and unplanned downtime ➡️ increase productivity and output ➡️ optimize your processes ➡️ achieve your sustainability goals",,cross-device targeting,asset management software,38.297872340425535
authenticid,authenticx,85.71428571428572,,authenticx.com,,,conversation intelligence for healthcare,,identity verification and protection,health care software,28.57142857142857
automatr,automatur,94.11764705882352,automatr.com,automatur.com,96.0,automatr is marketing automation software for drupal.,automatur is a marketing automation software application that goes far beyond a basic contact or relationship management system.,51.93370165745856,other marketing software,marketing automation software,67.9245283018868
automic,automio,85.71428571428572,,autom.io,,,"create, sell and deliver legal services online from anywhere with no technical expertise.",,other hr software,legal software,64.51612903225806
avaya 8300,avaya 8600,90.0,,,,,,,networking hardware,networking hardware,100.0
avaya vsp 4000,avaya vsp 7000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
avaya vsp 4000,avaya vsp 9000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
avaya vsp 7000,avaya vsp 9000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
azure active directory,azure active directory b2c,91.66666666666666,azure.microsoft.com/en-us/services/active-directory,,,"it is a comprehensive identity and access management solution that gives you a robust set of capabilities to manage users and groups. you can get the reliability and scalability you need with identity services that work with your on-premises, cloud, or hybrid environment.",,,password management,identity and access management,40.816326530612244
azure cognitive search,azure cognitive services,86.95652173913044,azure.microsoft.com/en-in/services/search,,,"it is the only cloud search service with built-in ai capabilities that enrich all types of information to easily identify and explore relevant content at scale. formerly known as azure search, it uses the same integrated microsoft natural language stack that bing and office have used for more than a decade and ai services across vision, language and speech. spend more time innovating and less time maintaining a complex cloud search solution.",,,search,api management,9.999999999999998
azure cognitive services,azure container service,85.1063829787234,,azure.microsoft.com/en-us/services/container-service,,,"azure container service optimizes the configuration of popular open source tools and technologies specifically for azure. you get an open solution that offers portability for both your containers and your application configuration. you select the size, the number of hosts, and choice of orchestrator tools, and container service handles everything else.",,api management,containers and microservices,33.333333333333336
azure security center,azure security centre,95.23809523809523,azure.microsoft.com/en-us/services/security-center,,,"it is a unified infrastructure security management system that strengthens the security posture of your data centers, and provides advanced threat protection across your hybrid workloads in the cloud - whether they're in azure or not - as well as on premises.",,,perimeter security and firewalls,cloud security,43.47826086956522
backshop,backstop,87.5,backshop.com,,,"backshop is a cash flow projection and deal modeling software for loan originators, commercial real estate investors, and insurance companies.",,,real estate software,hedge fund,19.999999999999996
backupcp,backuppc,87.5,mitlag.com,,,"backupcp is a business continuity software that automates complete cpanel accounts backup with emails without root access to cloud services like aws, google drive, dropbox and remote ftp.",,,data recovery software,backup and recovery,53.65853658536586
barback,barbuck,85.71428571428572,usebarback.com,,,"barback, is a software-as-a-service tool, helps startups, agencies, and enterprises distribute shares fairly and boost productivity through collaboration and competition. it tracks department employees' contributions to commissions, profit, and shares. barback aims to change employee share distribution to help firms prosper in today's fast-paced economy.",,,equity management software,restaurant management software,67.85714285714286
barracuda spam & virus firewall,barracuda spam firewall,85.18518518518519,,,,,,,email security,perimeter security and firewalls,52.17391304347826
bdeo,bdo,85.71428571428572,bdeo.io/en,,,bdeo is revolutionizing the insurance industry through claims and underwriting automation with visual intelligence.,,,financial services software,accounting and tax services,59.25925925925925
beeble,beebole,92.3076923076923,beeble.com,beebole.com,95.23809523809523,the beeble project is email and online cloud storage platform with unprecedented security and privacy without third party access.,"beebole timesheet is a business intelligence tool designed to help users to efficiently measure the time spent on projects, clients, and tasks.",47.79411764705882,email security software,time tracking software,35.55555555555555
behavio,behavox,85.71428571428572,behaviolabs.com,,,"behavio, the automated insight platform for creative advertising, is a valuable resource for any brand manager, marketer, strategist, researcher, or ceo, who wants to make data-driven decisions and optimize their ad campaigns for maximum impact. the web-based environment allows users to test their ads at any stage of the development – finished campaigns, storyboards, videos, images, or even just work-in-progress concepts. users can pre-test and post-test their ad campaigns to make data-driven decisions about the effectiveness of their messaging. features include second-by-second video analysis, concept comparisons, emotional word clouds, and much more. results are available in under five days.",,,brand intelligence software,"governance, risk and compliance",48.275862068965516
benefit one,benefitnet,85.71428571428572,,teambase.com,,,benefitnet is an online solution that helps providers and employers to simplify administration and management of employee benefit schemes.,,employee recognition,benefits administration software,30.76923076923077
bentley sewercad,bentley watercad,87.5,,,,,,,cad software,simulation modeling,25.806451612903224
bentley sewergems,bentley watergems,88.23529411764706,,,,,,,bim and architectural design software,simulation modeling,28.57142857142857
bink,binkd,88.88888888888889,radgametools.com,,,"bink is a defacto video codec for games that can work on any platform or device, that is completely self contained and built for multi-core.",,,game development software,other ad tech,36.8421052631579
birddog,birddoghr,87.5,getbirddog.ai,,,birddog shows sales people which prospects are most likely to convert to sales qualified leads by surfacing real world info about their targets.,,,other sales software,recruitment,25.806451612903224
bizfirst,bizfit,85.71428571428572,bizfirstonline.com,,,bizfirst is an application development platform. it's cloud-based and focused on it products and solutions. users can add-on many out of the box features to applications.,"bizfit is the corporate app for companies and digital workers. regardless of size or sector, with bizfit can create your own corporate app and centralize all the knowledge, training, communication and evaluation of your company into a single tool.",45.08393285371702,application development software,learning management systems,47.45762711864406
